47622,48662
47622,46083
47622,46060
47622,45235
47652,45582
47652,47674
47652,48295
47652,45558
47625,48288
47625,48302
47625,48695
47625,45671
47647,48696
47647,46061
47647,47377
47647,45545
47667,45573
47667,47634
47667,48315
47667,47642
47628,45573
47628,48683
47628,47388
47628,45697
47621,45186
47621,45669
47621,48575
47621,48092
48683,46082
48683,45685
48683,51959
48682,47376
48682,45671
48682,45187
48682,47624
47657,45676
47657,45683
47657,47362
47657,47363
47626,48290
47626,47363
47626,48581
45572,47357
45572,47591
45572,48687
45572,51964
47679,45660
47679,45589
47679,45695
47679,45567
47651,47677
47651,48693
47651,45576
47651,48284
48685,48304
48685,45587
48685,47671
48685,48660
47655,48313
47655,47408
47655,47586
47655,45566
47658,47372
47658,48690
47658,45665
47658,45668
47654,48294
47654,48311
47654,48688
47654,45570
47677,48693
47677,48284
47677,48300
47640,45675
47640,45581
47640,48282
47640,47352
47633,48310
47633,48689
47633,45569
47633,48294
48689,47372
48689,45660
48689,47367
47634,47642
47634,48691
47634,45555
47404,46329
47404,47650
47404,47672
47404,45707
47391,46356
47391,47577
47391,45198
47391,45579
47386,47397
47386,51959
47386,48276
47386,47587
51970,45706
51970,47563
51970,47378
51970,51956
47385,48287
47385,47390
47385,45690
47385,45212
47361,45217
47361,47600
47361,46348
47361,47636
47382,47603
47382,51968
47382,51965
47382,47588
51973,45204
51973,47554
51973,47597
51973,51958
47358,47668
47358,45186
47358,48278
47358,47351
47356,51966
47356,51962
47356,47395
47356,51969
47384,45186
47384,47573
47384,45669
47406,47563
47406,45230
47406,51956
47392,45579
47392,47355
47392,47574
47392,45198
47408,45712
47408,47593
47408,48296
47407,47379
47407,45670
47407,48279
47407,46355
51966,45710
51966,47378
51966,51962
51972,47665
51972,51963
51972,45233
51972,47354
51974,47394
51974,47643
51974,46352
51974,45223
47401,47557
47401,51975
47401,45708
47401,47673
47380,51957
47380,47675
47380,45697
47380,47583
47403,47597
47403,47582
47403,47552
47403,45182
47554,45194
47554,45706
47554,45184
47402,46384
47402,45223
47402,47381
47402,45695
47398,45237
47398,48390
47398,47400
47398,44932
48654,46062
48654,45550
48654,45540
48654,48587
48644,45406
48644,48566
48644,48138
48644,48145
48657,46054
48657,48647
48657,48649
48657,48569
48648,48639
48648,45397
48648,48322
48648,46031
48641,48321
48641,45545
48641,48292
48641,46559
48649,48674
48649,48569
48649,48650
48651,48572
48651,46577
48651,45366
48651,45560
48642,48600
48642,48679
48642,46036
48642,45535
48658,45409
48658,48433
48658,45546
48658,48602
48656,48568
48656,48666
48656,48678
48656,46048
48652,48286
48652,46082
48652,45399
48652,45586
48646,46051
48646,46029
48646,48668
48646,45396
48650,45531
48650,46053
48650,48564
48643,48554
48643,47724
48643,48664
48643,48639
48653,48331
48653,48585
48653,45383
48653,46035
48659,46575
48659,46041
48659,46059
48659,48288
48655,45360
48655,48666
48655,46047
48655,48676
48660,48304
48660,48589
48660,46030
48645,48667
48645,48603
48645,47732
48645,48604
47727,46055
47727,45399
47727,46082
47727,45586
48647,48669
48647,46054
48647,48563
47649,47556
47649,47662
47649,45678
47649,45192
47630,46075
47630,45582
47630,48312
47630,48688
47662,45183
47662,47556
47662,47377
45685,47388
45685,47590
45685,48276
47624,48359
47624,47578
47624,45237
47643,47549
47643,48688
47643,47548
47650,47665
47650,45660
47650,47373
47656,45194
47656,47371
47656,47595
47656,47362
47661,47567
47661,45179
47661,47366
47661,47574
47664,45183
47664,45679
47664,45670
47664,47556
47653,45196
47653,46070
47653,45712
47653,47586
47675,51957
47675,45181
47675,47639
47636,45702
47636,45189
47636,45188
47637,47371
47637,45696
47637,45665
47637,47672
47668,45557
47668,48278
